par1,par2,par3,par4,par5,par6,par7,par8,par9,weather
98,5,213601.0,39,0,9856.0,119,4,25285.0,1
98,5,213231.0,39,0,9661.0,119,4,25270.0,1
97,5,219524.0,44,0,8650.0,120,4,25927.0,1
98,5,213939.0,38,0,8959.0,118,4,34701.0,1
98,5,215628.0,34,0,7847.0,117,4,34075.0,1
99,5,222228.0,35,0,8891.0,120,4,31484.0,1
100,5,226464.0,35,0,9445.0,121,4,34866.0,1
100,5,219551.0,36,0,9083.0,121,4,41872.0,1
100,5,221120.0,34,0,8740.0,122,4,48627.0,1
100,5,218347.0,33,0,8347.0,123,4,59247.0,1
100,6,211450.0,33,0,7381.0,122,4,59232.0,1
100,6,214118.0,33,0,7700.0,122,4,57432.0,1
100,6,214400.0,33,0,7458.0,122,4,56359.0,1
100,6,214517.0,33,0,7480.0,122,4,56342.0,1
100,6,214349.0,33,0,7453.0,122,4,56504.0,1
100,6,214229.0,33,0,7510.0,122,4,56397.0,1
100,6,214342.0,33,0,7474.0,122,4,56435.0,1
100,6,214368.0,33,0,7446.0,122,4,56317.0,1
100,6,214367.0,33,0,7410.0,122,4,56430.0,1
100,6,214299.0,33,0,7447.0,122,4,56362.0,1
100,6,215085.0,33,0,7434.0,122,4,56545.0,1
100,6,214457.0,33,0,7349.0,122,4,56384.0,1
100,6,215220.0,34,0,7505.0,122,4,55752.0,1
100,6,214662.0,34,0,7517.0,122,4,56091.0,1
100,6,214758.0,34,0,7800.0,122,4,55486.0,1
100,6,214225.0,34,0,7670.0,122,4,55908.0,1
100,6,213614.0,34,0,7555.0,122,4,55430.0,1
99,6,212322.0,35,0,7728.0,121,4,55761.0,1
98,5,212633.0,35,0,7786.0,119,4,56188.0,1
100,6,214658.0,33,0,7463.0,122,4,56359.0,1
100,5,226936.0,33,0,8316.0,121,4,41181.0,1
99,5,214043.0,36,0,11068.0,118,4,32395.0,1
101,5,224092.0,35,0,9176.0,122,4,58725.0,1
101,5,226420.0,32,0,7176.0,123,4,22905.0,1
101,6,214998.0,28,0,5170.0,123,4,32283.0,1
101,6,203843.0,25,0,2697.0,125,4,46581.0,1
97,6,202160.0,32,0,5927.0,115,4,9221.0,1
95,6,195816.0,33,0,4686.0,111,4,12998.0,1
97,6,210848.0,29,0,4075.0,117,4,17059.0,1
97,6,200583.0,29,0,4325.0,119,4,23686.0,1
98,6,196196.0,30,0,6216.0,119,4,43858.0,1
98,6,194722.0,28,0,4555.0,123,4,64491.0,1
98,6,201672.0,28,0,5145.0,120,4,29578.0,1
98,6,195303.0,31,0,5176.0,118,4,29991.0,1
98,6,198694.0,31,0,6225.0,118,4,42770.0,1
98,6,189025.0,31,0,6157.0,117,4,53555.0,1
98,6,192119.0,32,0,7034.0,115,4,44868.0,1
98,6,194696.0,33,0,7046.0,114,4,42312.0,1
98,6,201991.0,42,0,10041.0,110,4,41722.0,1
98,6,197065.0,32,0,7459.0,115,4,42610.0,1
98,6,196997.0,32,0,7495.0,115,4,42389.0,1
98,6,197050.0,32,0,7451.0,115,4,42602.0,1
98,6,196988.0,32,0,7509.0,115,4,42428.0,1
98,6,197007.0,32,0,7472.0,115,4,42637.0,1
98,6,196885.0,32,0,7486.0,115,4,42442.0,1
98,6,197048.0,32,0,7468.0,115,4,42634.0,1
98,6,196808.0,32,0,7508.0,115,4,42436.0,1
98,6,196849.0,32,0,7427.0,115,4,42585.0,1
98,6,196666.0,32,0,7462.0,115,4,42434.0,1
98,6,196604.0,32,0,7293.0,115,4,42650.0,1
98,6,196841.0,32,0,7482.0,115,4,42342.0,1
98,6,196987.0,32,0,7417.0,115,4,42630.0,1
98,6,196798.0,32,0,7483.0,115,4,42406.0,1
98,6,196907.0,32,0,7406.0,115,4,42621.0,1
98,6,196900.0,32,0,7489.0,115,4,42416.0,1
98,6,196897.0,32,0,7462.0,115,4,42608.0,1
98,6,196883.0,32,0,7489.0,115,4,42399.0,1
98,6,196938.0,32,0,7451.0,115,4,42624.0,1
98,6,196882.0,32,0,7492.0,115,4,42384.0,1
98,6,197020.0,32,0,7453.0,115,4,42628.0,1
98,6,201954.0,33,0,7828.0,115,4,35138.0,1
98,6,206691.0,32,0,7790.0,111,4,20214.0,1
101,6,216067.0,30,0,8003.0,113,4,8073.0,1
101,6,215293.0,30,0,8534.0,112,4,9126.0,1
101,6,209781.0,30,0,8335.0,111,4,11235.0,1
101,6,202803.0,29,0,8545.0,109,4,13070.0,1
100,6,192677.0,35,0,8807.0,108,4,51328.0,1
95,6,179973.0,42,0,8770.0,98,4,31847.0,1
92,6,174966.0,36,0,6801.0,99,4,11328.0,1
86,6,147146.0,41,0,7935.0,91,4,32642.0,1
85,6,145518.0,46,0,12991.0,82,4,9927.0,1
86,6,159455.0,59,0,15108.0,81,4,12097.0,1
88,6,183746.0,71,0,22500.0,78,0,11342.0,1
92,6,175135.0,35,0,8135.0,100,4,15201.0,1
93,6,172441.0,34,0,8152.0,101,4,24494.0,1
93,6,166163.0,35,0,8377.0,100,4,30374.0,1
93,6,170062.0,36,0,8596.0,100,4,30589.0,1
93,6,167928.0,35,0,8049.0,100,4,30338.0,1
93,6,167997.0,36,0,8115.0,100,4,29994.0,1
93,6,169261.0,36,0,8395.0,100,4,29629.0,1
91,6,170254.0,40,0,10206.0,96,4,30096.0,1
93,6,168533.0,36,0,8083.0,100,4,29630.0,1
92,6,168170.0,37,0,8815.0,98,4,29674.0,1
91,6,169157.0,37,0,8942.0,98,4,32143.0,1
92,6,168558.0,36,0,8629.0,99,4,30220.0,1
90,6,167491.0,36,0,8023.0,98,4,32050.0,1
90,6,166061.0,35,0,8253.0,99,4,31107.0,1
90,6,167096.0,35,0,8141.0,99,4,31201.0,1
90,6,166361.0,35,0,8273.0,99,4,31163.0,1
90,6,166834.0,35,0,8150.0,99,4,31178.0,1
90,6,166364.0,35,0,8262.0,99,4,31183.0,1
92,6,168054.0,35,0,8222.0,100,4,30856.0,1
93,6,168245.0,35,0,8355.0,100,4,30165.0,1
93,6,168688.0,35,0,8239.0,100,4,29793.0,1
93,6,168122.0,35,0,8371.0,101,4,30436.0,1
93,6,168616.0,35,0,8182.0,101,4,30680.0,1
93,6,168096.0,35,0,8357.0,101,4,30712.0,1
93,6,168637.0,35,0,8169.0,101,4,30800.0,1
93,6,168057.0,35,0,8353.0,101,4,30810.0,1
93,6,168570.0,35,0,8160.0,101,4,30842.0,1
93,6,167997.0,35,0,8349.0,101,4,30796.0,1
93,6,168636.0,35,0,8172.0,101,4,30805.0,1
93,6,181511.0,37,0,9012.0,101,4,31417.0,1
91,6,167845.0,42,0,10739.0,98,4,45101.0,1
91,6,159141.0,39,0,8248.0,95,4,21863.0,1
85,6,134216.0,42,0,7419.0,83,4,11762.0,1
87,6,143366.0,41,0,9240.0,89,4,46320.0,1
86,6,142388.0,44,0,9164.0,91,4,33589.0,1
85,6,153885.0,43,0,9696.0,91,4,9573.0,1
83,6,150612.0,44,0,10120.0,90,4,25689.0,1
79,6,132041.0,50,0,10544.0,81,4,31456.0,1
81,6,135683.0,48,0,10109.0,84,4,37750.0,1
89,6,162512.0,49,0,9875.0,93,4,11170.0,1
88,6,155342.0,40,0,9237.0,96,4,14958.0,1
86,6,141748.0,47,0,11533.0,89,4,30215.0,1
79,6,131558.0,45,0,10825.0,82,4,15408.0,1
78,6,127765.0,45,0,10948.0,83,4,32213.0,1
81,6,123374.0,49,0,13367.0,83,4,45218.0,1
81,6,134898.0,43,0,10603.0,85,4,15090.0,1
79,6,123997.0,43,0,8680.0,85,4,37222.0,1
80,6,131825.0,44,0,8064.0,83,4,21302.0,1
82,6,136835.0,48,0,8853.0,83,4,28056.0,1
81,6,130092.0,48,0,8548.0,85,4,39119.0,1
80,6,132469.0,50,0,8184.0,84,4,24576.0,1
78,6,136655.0,54,0,7626.0,79,4,14791.0,1
77,6,137603.0,56,0,7843.0,78,4,13290.0,1
77,6,137714.0,57,0,7961.0,77,0,12794.0,1
77,6,138216.0,57,0,7961.0,77,0,12742.0,1
77,6,137933.0,57,0,7910.0,77,0,12685.0,1
77,6,137658.0,56,0,8008.0,77,0,12458.0,1
77,6,137800.0,57,0,7905.0,77,0,12482.0,1
77,6,137796.0,56,0,7953.0,77,0,12582.0,1
77,6,138064.0,57,0,7861.0,77,0,12372.0,1
77,6,138597.0,57,0,8056.0,77,0,11296.0,1
77,6,143272.0,61,0,8792.0,76,0,11336.0,1
77,6,137657.0,57,0,7863.0,77,0,12724.0,1
77,6,137766.0,57,0,7789.0,77,0,12660.0,1
77,6,137574.0,56,0,7843.0,77,0,12739.0,1
77,6,137750.0,57,0,7797.0,77,0,12672.0,1
77,6,137629.0,56,0,7819.0,77,0,12733.0,1
77,6,137967.0,57,0,7824.0,77,0,12717.0,1
